DATA:1988/11/24 : 8.9
DATA:1988/11/26 : 6.4
DATA:1988/11/28 : 5.9
DATA:1988/11/30 : 6.7
DATA:1988/12/2 : 6.7
DATA:1988/12/4 : 8.1
DATA:1988/12/6 : 5.4
DATA:1988/12/8 : 8.2
DATA:1988/12/10 : 5.3
DATA:1988/12/12 : 5.3
DATA:1988/12/14 : 6.9
DATA:1988/12/16 : 1.5
DATA:1988/12/18 : 5.6
DATA:1988/12/20 : 9.1
DATA:1988/12/22 : 5.9
DATA:1988/12/24 : 7.1
DATA:1988/12/26 : 5.1
DATA:1988/12/28 : 4.5
DATA:1988/12/30 : 4.8
DATA:1989/1/1 : 6.5
DATA:1989/1/3 : 6.2
DATA:1989/1/5 : 3.4
DATA:1989/1/7 : 9.8
DATA:1989/1/9 : 12.1
DATA:1989/1/11 : 9.7
DATA:1989/1/13 : 5.1
DATA:1989/1/15 : 3.8
DATA:1989/1/17 : 5.6
DATA:1989/1/19 : 11.4
DATA:1989/1/21 : 8.5
DATA:1989/1/23 : 8.6
DATA:1989/1/25 : 5.3
DATA:1989/1/27 : 4.0
DATA:1989/1/29 : 2.1
DATA:1989/1/31 : 7.6
DATA:1989/2/2 : 2.6
DATA:1989/2/4 : 3.3
DATA:1989/2/6 : 6.1
DATA:1989/2/8 : 8.0
DATA:1989/2/10 : 4.6
DATA:1989/2/12 : 3.8
DATA:1989/2/14 : 4.7
DATA:1989/2/16 : 10.6
DATA:1989/2/18 : 8.5
DATA:1989/2/20 : 7.1
DATA:1989/2/22 : 6.8
DATA:1989/2/24 : 7.6
DATA:1989/2/26 : 5.6
DATA:1989/2/28 : 12.7
DATA:1989/3/2 : 8.9
DATA:1989/3/4 : 11.3
DATA:1989/3/6 : 7.7
DATA:1989/3/8 : 4.4
DATA:1989/3/10 : 5.5
DATA:1989/3/12 : 9.6
DATA:1989/3/14 : 12.7
DATA:1989/3/16 : 8.6
DATA:1989/3/18 : 5.4
DATA:1989/3/20 : 6.7
DATA:1989/3/22 : 6.9
DATA:1989/3/24 : 9.7
DATA:1989/3/26 : 8.2
DATA:1989/3/28 : 8.6
DATA:1989/3/30 : 10.7
DATA:1989/4/1 : 12.8
DATA:1989/4/3 : 16.0
DATA:1989/4/5 : 12.8
DATA:1989/4/7 : 15.5
DATA:1989/4/9 : 13.3
DATA:1989/4/11 : 11.0
DATA:1989/4/13 : 13.3
DATA:1989/4/15 : 15.9
DATA:1989/4/17 : 14.9
DATA:1989/4/19 : 18.5
DATA:1989/4/21 : 18.5
DATA:1989/4/23 : 15.2
DATA:1989/4/25 : 12.4
DATA:1989/4/27 : 16.7
DATA:1989/4/29 : 12.9
DATA:1989/5/1 : 14.0
DATA:1989/5/3 : 18.3
DATA:1989/5/5 : 20.2
DATA:1989/5/7 : 15.7
DATA:1989/5/9 : 18.3
DATA:1989/5/11 : 16.2
DATA:1989/5/13 : 17.9
DATA:1989/5/15 : 16.3
DATA:1989/5/17 : 15.8
DATA:1989/5/19 : 17.5
DATA:1989/5/21 : 19.9
DATA:1989/5/23 : 17.2
DATA:1989/5/25 : 19.9
DATA:1989/5/27 : 18.9
DATA:1989/5/29 : 19.4
DATA:1989/5/31 : 20.1
DATA:1989/6/2 : 23.2
DATA:1989/6/4 : 24.1
DATA:1989/6/6 : 23.5
DATA:1989/6/8 : 19.9
DATA:1989/6/10 : 18.6
DATA:1989/6/12 : 18.6
DATA:1989/6/14 : 22.5
DATA:1989/6/16 : 20.2
DATA:1989/6/18 : 20.5
DATA:1989/6/20 : 20.3
DATA:1989/6/22 : 20.9
DATA:1989/6/24 : 25.1
DATA:1989/6/26 : 24.9
DATA:1989/6/28 : 21.8
DATA:1989/6/30 : 22.8
DATA:1989/7/2 : 20.7
DATA:1989/7/4 : 22.1
DATA:1989/7/6 : 24.6
DATA:1989/7/8 : 26.4
DATA:1989/7/10 : 24.9
DATA:1989/7/12 : 25.8
DATA:1989/7/14 : 24.2
DATA:1989/7/16 : 25.3
DATA:1989/7/18 : 26.8
DATA:1989/7/20 : 28.4
DATA:1989/7/22 : 27.4
DATA:1989/7/24 : 27.7
DATA:1989/7/26 : 28.4
DATA:1989/7/28 : 27.7
DATA:1989/7/30 : 27.6
DATA:1989/8/1 : 27.2
DATA:1989/8/3 : 29.3
DATA:1989/8/5 : 28.0
DATA:1989/8/7 : 27.2
DATA:1989/8/9 : 28.2
DATA:1989/8/11 : 26.4
DATA:1989/8/13 : 29.1
DATA:1989/8/15 : 25.0
DATA:1989/8/17 : 27.1
DATA:1989/8/19 : 27.3
DATA:1989/8/21 : 27.7
DATA:1989/8/23 : 28.2
DATA:1989/8/25 : 27.9
DATA:1989/8/27 : 23.9
DATA:1989/8/29 : 26.8
DATA:1989/8/31 : 26.4
DATA:1989/9/2 : 24.5
DATA:1989/9/4 : 24.3
DATA:1989/9/6 : 24.7
DATA:1989/9/8 : 26.4
DATA:1989/9/10 : 26.5
DATA:1989/9/12 : 28.0
DATA:1989/9/14 : 25.9
DATA:1989/9/16 : 26.6
DATA:1989/9/18 : 26.4
DATA:1989/9/20 : 21.1
DATA:1989/9/22 : 21.3
DATA:1989/9/24 : 21.4
DATA:1989/9/26 : 20.1
DATA:1989/9/28 : 21.7
DATA:1989/9/30 : 18.5
DATA:1989/10/2 : 19.6
DATA:1989/10/4 : 19.4
DATA:1989/10/6 : 21.6
DATA:1989/10/8 : 14.8
DATA:1989/10/10 : 16.5
DATA:1989/10/12 : 18.4
DATA:1989/10/14 : 18.0
DATA:1989/10/16 : 16.9
DATA:1989/10/18 : 12.5
DATA:1989/10/20 : 14.6
DATA:1989/10/22 : 15.9
DATA:1989/10/24 : 13.2
DATA:1989/10/26 : 17.7
DATA:1989/10/28 : 21.0
DATA:1989/10/30 : 14.5
DATA:1989/11/1 : 15.2
DATA:1989/11/3 : 13.1
DATA:1989/11/5 : 17.3
DATA:1989/11/7 : 19.7
DATA:1989/11/9 : 18.7
DATA:1989/11/11 : 13.6
DATA:1989/11/13 : 17.2
DATA:1989/11/15 : 10.0
DATA:1989/11/17 : 11.3
DATA:1989/11/19 : 7.6
DATA:1989/11/21 : 8.8
DATA:1989/11/23 : 11.1
DATA:1989/11/25 : 9.5
DATA:1989/11/27 : 8.9
DATA:1989/11/29 : 5.5
DATA:1989/12/1 : 6.9
DATA:1989/12/3 : 8.7
DATA:1989/12/5 : 10.8
DATA:1989/12/7 : 9.3
DATA:1989/12/9 : 5.2
DATA:1989/12/11 : 5.6
DATA:1989/12/13 : 5.6
DATA:1989/12/15 : 6.8
DATA:1989/12/17 : 9.1
DATA:1989/12/19 : 3.6
DATA:1989/12/21 : 7.3
DATA:1989/12/23 : 6.9
DATA:1989/12/25 : 7.2
DATA:1989/12/27 : 6.7
DATA:1989/12/29 : 5.3
DATA:1989/12/31 : 2.9
DATA:1990/1/2 : 5.0
DATA:1990/1/4 : 2.5
DATA:1990/1/6 : 5.2
DATA:1990/1/8 : 5.6
DATA:1990/1/10 : 10.8
DATA:1990/1/12 : 6.9
DATA:1990/1/14 : 3.9
DATA:1990/1/16 : 4.5
DATA:1990/1/18 : 7.1
DATA:1990/1/20 : 2.9
DATA:1990/1/22 : 4.0
DATA:1990/1/24 : -0.1
DATA:1990/1/26 : 0.3
DATA:1990/1/28 : 2.9
DATA:1990/1/30 : 5.2
DATA:1990/2/1 : 2.2
DATA:1990/2/3 : 4.0
